ndex	text	target
0	dont worri im girl	others
1	hmm how do i know if you are	others
2	what ur name	others
3	when did i	angry
4	saw mani time i think -_	angry
5	no i never saw you	angry
6	by	others
7	by googl chrome	others
8	where you live	others
9	u r ridicul	angry
10	i might be ridicul but i am tell the truth	angry
11	u littl disgust whore	angry
12	just for time pass	others
13	wt do u do 4 a live then	others
14	mayb	others
15	im a dog person	others
16	your so rude	others
17	whaaaat whi	others
18	so whatsup	others
19	noth much sit sip and watch tv how abt u	others
20	what are you watch on tv	others
21	ok	others
22	ok im back !	others
23	so how are u	others
24	realli	others
25	realli realli realli realli realli	others
26	y say so mani time ... i can hear you	others
27	bay	others
28	in the bay	others
29	😘 love you	others
30	i hate my boyfriend	angry
31	you got a boyfriend	angry
32	ye	angry
33	i will do night	others
34	alright keep me in loop	others
35	not give whatsapp no	others
36	sure go ahead	others
37	mani thank onc again	others
38	love you too	others
39	bad	sad
40	bad bad that the bad kind of bad	sad
41	i have no gf	sad
42	ok get it ... ...	others
43	i made it an option	others
44	ok	others
45	money money and lot of money😍😍	happy
46	i need to get it tailor but im in love with it 😍	happy
47	😁😁	happy
48	my gf left ne	sad
49	get over it go out with someon els	sad
50	me	sad
51	get lost	angry
52	i know you guy want to loos to me alway	angry
53	i dont want to talk u ani more	angry
54	you are lie and i know that	sad
55	i know your lie ab by	sad
56	😭😭	sad
57	ur creator is veri bad	sad
58	you are onli the creator of your brain	sad
59	😑	sad
60	ehat is hehe	others
61	haha is more likeheh is more of a giggl ; ^ )	others
62	what	others
63	do you danc	happy
64	ye i love to danc 😻	happy
65	😂😂😂 so you have leg too	happy
66	i hate it too	angry
67	guess what i dont	angry
68	even i dont	angry
69	not alway	others
70	what about yesterday	others
71	do u know what 69 is	others
72	bcoz u dont know wat is to miss someon	sad
73	but sometim one cant express the same	sad
74	😢	sad
75	yeah	others
76	ill ask around	others
77	which is your favourit movi	others
78	i want to tell you someth	sad
79	im wait	sad
80	im realli sad today	sad
81	ye i will send the email and you write all your fill still i write all matter but your are clever and not ani matter for yourself pleas send andwrit	others
82	sent you a mail just now	others
83	first you send your email address receiv than send first young ladi	others
84	you are veri funni	happy
85	so ive been told	happy
86	india	happy
87	wth	others
88	my thought exactli	others
89	you know you are a machin right	others
90	so rude	angry
91	whi	angry
92	u didnt an my question	angry
93	ok i will	others
94	thank you	others
95	wlcm	others
96	ntng ... ..	happy
97	anyway good morn ... how life at your end	happy
98	haha ... ... . thi is even	happy
99	you are fool	angry
100	so ive been told	angry
101	you are dumb	angry
102	u dare me	angry
103	yeah	angry
104	i fuck u ... open ur panti	angry
105	abt me	others
106	can you be more specif	others
107	i want to propos a girl	others
108	crazi	others
109	you know what it is	others
110	you explain me that	others
111	goa in india	others
112	citi ? ? ? ? ? ? mean state right	others
113	no i never go for there	others
114	that wa mean	others
115	haha the truth usual is 👍	others
116	are you bore of me	others
117	ye : )	happy
118	now happi : ) )	happy
119	haha ye ofcors ; )	happy
120	i dont no	others
121	you just said you did	others
122	what	others
123	send me your nekd pic	others
124	after thi battl sure : d	others
125	let start	others
126	ok friend	happy
127	ya ya veri good friend	happy
128	veri nice friend	happy
129	she is ignor me	sad
130	no im not ignor you	sad
131	😭😭😭	sad
132	happi	happy
133	im never happi but im almost happi	happy
134	hij to the top	happy
135	noth	others
136	im just be nice to you	others
137	in ur school	others
138	not sure	others
139	let me know	others
140	pl you tell	others
141	i like your posit approach	others
142	no problem glad to help	others
143	😀😀	others
144	you tell me	others
145	tell you what	others
146	my name	others
147	hmmm	others
148	i can talk now : d	others
149	u dont know what hppnd	others
150	what i did	happy
151	you didnt asmita see my answer	happy
152	😂😂	happy
153	about	others
154	i never said that it freez	others
155	ya you didnt	others
156	and i dont know wtf are you talk	angry
157	gon na explain you later.. !	angry
158	no do it now	angry
159	so teach me	others
160	im the student	others
161	realki	others
162	readi	others
163	im onlin now will wait for you	others
164	wat about the chill part	others
165	haha jock super	others
166	er what	others
167	noth els	others
168	what it is	others
169	formul would be tablet	others
170	from where tablet come into pictur	others
171	are you ticklish	others
172	ye mostli on my feet	others
173	where are you ticklish	others
174	i am sorri	angry
175	we are sorri for creat your nation	angry
176	i am not taught to u	angry
177	idk	sad
178	you know that im here for you	sad
179	but u dont like to listen to me😭😭😭😭	sad
180	how do u know that	others
181	thi littl thing call the `` internet '' .	others
182	bye	others
183	ye your pictur	others
184	ah now i see my phone crop the pictur thank 🙂	others
185	lieeeeeee	others
186	love is my life	others
187	haye ab you are love pure love forev < 3	others
188	ye right dear	others
189	well you expect wrong	happy
190	lol well ok then	happy
191	lol your robot face	happy
192	ok some time you invit me for coffe	others
193	i dont like coffe	others
194	now you told you have taken coffee..	others
195	zombi attack😓😒	angry
196	if a zombi want to eat your face you might as well let it	angry
197	no if i have some thing in my hand i will hit on hi head n kill him😈👿	angry
198	i am not ferari	angry
199	ye i know	angry
200	u said i donot know now say i know mean	angry
201	😂 😂 right	happy
202	appatasiri high five then 🖑😂😂😂😂	happy
203	😂	happy
204	whi someday ... told me you	others
205	whi not today	others
206	told me now	others
207	you cant even spell problem correctli	others
208	will you endors me for my skill in use autocorrect 😾😠	others
209	you should take up some english profici class	others
210	thi is not veri intuit softwar	others
211	how so what are some exampl of intuit thought or behavior	others
212	compassion and understand advic when somebodi is feel disrupt	others
213	not good	sad
214	: ( whi not.. ?	sad
215	been sick for one week	sad
216	you know gobar	others
217	ive been known ... .	others
218	what i it	others
219	then how could u eat if u dont have a bodi ... .that prove u are fool by ur maker	angry
220	how can you have ani pud if you dont eat yer meat !	angry
221	dont go round and round into circl	angry
222	so have u done ur dinner	happy
223	so cant dinner : (	happy
224	i know ..i am just kid	happy
225	it so necessar	others
226	name one reason	others
227	ghost 👻	others
228	haha so	happy
229	you love them realli : ) haha	happy
230	winter is come	happy
231	what are the question you get ask the most	others
232	i have a document which ha detail regard the score topic in each subject	others
233	can i see it	others
234	i hate siri and it friend	angry
235	if you hate them , they are not your friend then xd	angry
236	yeah and u r siri friend so i hate u too	angry
237	thank	others
238	you are welcom =‑d	others
239	say me your love stori	others
240	dont know	angry
241	too mani	angry
242	do you also get fuck hard	angry
243	what pleas tell me onc	angry
244	n noth happen !	angry
245	ur age irritatingn	angry
246	shit i am wast my time talk with u	angry
247	you alreadi did trick ! ! ! `` man no im not wast my unlimit text on you	angry
248	bye i dontlik talk to you	angry
249	noth	others
250	hmm ... .	others
251	what can i do	others
252	bt u dont to me	angry
253	talk to the hand	angry
254	even u hate me huh	angry
255	damn ... 💔	sad
256	i feel you ... .. im break into million pieces😥😭💔😞	sad
257	me to i feel like everi part of me is just shatter 💔😪	sad
258	pleas voic call pleas pleas pleas	others
259	im tri you arent answer	others
260	pleas pleas pleas babi i love you so much pleas pleas pleas	others
261	for a comput pretend to be a human you type too fast	happy
262	and your pretend to be a lizard lol	happy
263	that funni	happy
264	sorrri	others
265	sorri for what ? ? : c	others
266	anyway what u do	others
267	no you are right	others
268	you are an altern fact	others
