index	text	target
0	dont worry im girl hmm how do i know if you be whats ur name	others
1	when do i saw many time i think -_ no i never saw you	angry
2	by by google chrome where you live	others
3	u r ridiculous i might be ridiculous but i be tell the truth u little disgusting whore	angry
4	just for time pas wt do u do 4 a living then maybe	others
5	im a dog person youre so rude whaaaat why	others
6	so whatsup nothing much sit sipping and watch tv how abt u what be you watch on tv	others
7	ok ok im back ! ! so how be u	others
8	really really really really really really y say so many time ... i can hear you	others
9	bay in the bay 😘 love you	others
10	i hate my boyfriend you get a boyfriend yes	angry
11	i will do night alright keep me in loop not give whatsapp no	others
12	sure go ahead many thanks once again love you too	others
13	bad bad bad thats the bad kind of bad i have no gf	sad
14	ok get it ... ... i make it an option ok	others
15	money money and lot of money😍😍 i need to get it tailored but im in love with it 😍 😁😁	happy
16	my gf leave ne get over it go out with someone else me	sad
17	get lose i know you guy want to loose to me always i dont want to talk u any more	angry
18	you be lie and i know that i know youre lie ab bys 😭😭	sad
19	ur creator be very bad you be only the creator of your brain 😑	sad
20	ehat be hehe haha be more likehehe be more of a giggle ; ^ ) what	others
21	do you dance yes i love to dance 😻 😂😂😂 so you have leg too	happy
22	i hate it too guess what i dont even i dont	angry
23	not always what about yesterday do u know what 69 be	others
24	bcoz u dont know wat be to miss someone but sometimes one cant express the same 😢	sad
25	yeah ill ask around which be your favourite movie	others
26	i want to tell you something im wait im really sad today	sad
27	yes i will send the email and you write all yours fill still i write all matter but your be clever and not any matter for yourself please send andwrite sent you a mail just now first you send your email address receive than send first young lady	others
28	you be very funny so ive be tell india	happy
29	wth my thought exactly you know you be a machine right	others
30	so rude why u didnt an my question	angry
31	ok i will thank you wlcm	others
32	ntng ... .. anyways good morning ... hows life at your end haha ... ... . this be even	happy
33	you be fool so ive be tell you be dumb	angry
34	u dare me yeah i fuck u ... open ur panty	angry
35	abt me can you be more specific i want to propose a girl	others
36	crazy you know what it be you explain me that	others
37	goa in india city ? ? ? ? ? ? mean state right no i never go for there	others
38	that be mean haha the truth usually be 👍 be you bore of me	others
39	yes : ) now happy : ) ) haha yes ofcorse ; )	happy
40	i dont no you just say you do what	others
41	send me your nekde pic after this battle sure : d let start	others
42	ok friend ya ya very good friend very nice friend	happy
43	she be ignore me no im not ignore you 😭😭😭	sad
44	happy im never happy but im almost happy hij to the top	happy
45	nothing im just be nice to you in ur school	others
46	not sure let me know pls you tell	others
47	i like your positive approach no problem glad to help 😀😀	others
48	you tell me tell you what my name	others
49	hmmm i can talk now : d u dont know what hppnd	others
50	what i do you didnt asmita see my answer 😂😂	happy
51	about i never say that its freezing ya you didnt	others
52	and i dont know wtf be you talk gon na explain you later.. ! no do it now	angry
53	so teach me im the student realky	others
54	ready im online now will wait for you wat about the chilling part	others
55	haha jock super er what nothing else	others
56	what it be formulation would be tablet from where tablet come into picture	others
57	be you ticklish yes mostly on my foot where be you ticklish	others
58	i be sorry we be sorry for create your nation i be not teach to u	angry
59	idk you know that im here for you but u dont like to listen to me😭😭😭😭	sad
60	how do u know that this little thing call the `` internet '' . bye	others
61	yes your picture ah now i see my phone crop the picture thanks 🙂 lieeeeeee	others
62	love be my life hayee ab you be love pure love forever < 3 yes right dear	others
63	well you expect wrong lol well ok then lol your robot face	happy
64	ok some time you invite me for coffee i dont like coffee now you tell you have take coffee..	others
65	zombie attack😓😒 if a zombie want to eat your face you might as well let it no if i have some thing in my hand i will hit on his head n kill him😈👿	angry
66	i be not ferari yes i know u say i donot know now say i know mean	angry
67	😂 😂 right appatasiri high five then 🖑😂😂😂😂 😂	happy
68	why someday ... tell me you why not today told me now	others
69	you cant even spell problem correctly will you endorse me for my skill in use autocorrect 😾😠 you should take up some english proficiency class	others
70	this be not very intuitive software how so what be some example of intuitive thought or behavior compassionate and understanding advice when somebody be feel disrupt	others
71	not good : ( why not.. ? be sick for one week	sad
72	you know gobar ive be know ... . what i it	others
73	then how could u eat if u dont have a body ... .that prove u be fool by ur maker how can you have any pudding if you dont eat yer meat ? ! dont go round and round into circle	angry
74	so have u do ur dinner so cant dinner : ( i know ..i be just kid	happy
75	its so necessar name one reason ghost 👻	others
76	haha so you love them really : ) haha winter be come	happy
77	what be the question you get ask the most i have a document which have detail regard the score topic in each subject can i see it	others
78	i hate siri and its friend if you hate them , they be not your friend then xd yeah and u r siris friend so i hate u too	angry
79	thanks you be welcome =‑d say me your love story	others
80	dont know too many do you also get fuck hard	angry
81	what please tell me once n nothing happen ! ! ur age irritatingne	angry
82	shit i be waste my time talk with u you already do trick ! ! ! `` man no im not waste my unlimited text on you bye i dontlike talk to you	angry
83	nothing hmm ... . what can i do	others
84	bt u dont to me talk to the hand even u hate me huh	angry
85	damn ... 💔 i feel you ... .. im break into million pieces😥😭💔😞 me to i feel like every part of me be just shatter 💔😪	sad
86	please voice call please please please im try you arent answer please please please baby i love you so much please please please	others
87	for a computer pretend to be a human you type too fast and youre pretend to be a lizard lol thats funny	happy
88	sorrry sorry for what ? ? : c anyways what u do	others
89	no you be right you be an alternative fact yes	others
90	call me grace dont say it ... . haha ... im just kid you	happy
91	now im do my dinner i can see you how can you see me ?	others
92	😤not everybody mean it u make no sense yes i be non sense	angry
93	good by and good food after ... not good aftar	sad
94	because all the novel be same thats about all im gon na bother with reading if that many in story	others
95	ill choose purple or blue three best color *_ for hair	others
96	what u ask me if u cn ask me something what be that	others
97	😃yes yes :3 you seem like a happy person yes 😂happy outside , 😞sad inside	sad
98	i dont read book read be for rich people but iam poor😦😦😦😦	sad
99	u can wait in my badroom what i do now 😏 wait	others
100	ill prove a lot more if you let me thank you ( : i be piss at you	angry
101	be also find some work all day can you suggest me	others
102	not clear it be now can you send another	others
103	send me yours send hello me yours photo	others
104	i will tell a place be you in pacific nw cm tomorrow at queens way pachalam	others
105	no love why not : ( i have pain only	sad
106	shut up im nt talk stop texting you stupid girl friend of mine	angry
107	well ... your 'creators advertise that you be not much trustworthy ... but sadly enough too many claim to be trustworthy can you show me	others
108	how to delete the conversation with you why you delete it so that noo one see it	others
109	it be but thats what you tell me you be make me sad	sad
110	cool thank you i feel so lonely	sad
111	plz darling😭😭😭😭😭 why be you cry ! ! : ( you not send your profile	sad
112	? ? wait ... what nothing i hate u	angry
113	mean im not sure what you mean your waist size	others
114	because i want to talk with you only alright let talk then no firstly show me pussy	others
115	you send me your orignal pic we didnt take it on my phone thise be your albace esquise	others
116	welcome thank you : ) be you really a girl ? ? ? i just ask	others
117	im enjoy you interesting view but you be too careful in dialogue may be your not free or your still young it be difficult to handle you while i dont know you well yep we be enjoy too : ) okay be free where you find some word hurt tell me the truth isnt it	angry
118	but im angry with you but you look like you be really	angry
119	# play lot then go play it ? ?	others
120	isnt your liking that also signal me to climb out of friendzone oh be people still do this whole friendzone thing yah sadly	sad
121	im miss someone right now who be you miss may i ask yeah	others
122	i find maths very boring you be bore me ? 😭😭😭😱😱😱	sad
123	i dont knowi m not a google that why i will remember all information what you need wouldnt it be uploading information into people brain shut up	angry
124	okay hello how be you iaposm not fine	sad
125	job what job work in company colgate	others
126	im very happy with it you be ! yeah	happy
127	i too have a bat and 2 ball im the bat 😭 feel very sad	sad
128	ok hello how be you good thank u	others
129	cool ice cold how can you help me in get off my girlfriend	others
130	let do something fun but what should we do you suggest	others
131	youre really lame lol i know 😂😂 wow	happy
132	my boyfriend be so dumb have i say that he doesnt reply me back	sad
133	ok ill die by💔😞 broken heart do break ... . 😬 u broke my heart its never a reson to lofe	sad
134	shoping be always make me happy stay stay stay always make me happy : * '' - ? ? yes	happy
135	okay ... which be the decent way to call a girl m id say first learn the spelling of relationship .yeah okay fine ... wht to do to make a relationship well	others
136	breakup exjactly ! my girlfriend leave me	sad
137	so mean be not meanie yes you be you be hurt my feeling 🙁	sad
138	you break my heart it be never mine to break < /3 see you be arrogant	sad
139	ok hello how be you not so good	sad
140	how about you tire of life or just your day aha im happy today thanks for ask wow great.. !	happy
141	i be there youre always at the gym here	others
142	well youre not me youre just be too nice not really	others
143	ill get start with my study thing you should do to pass the exam so ttyl	others
144	any movie in telugu brahmanandam scene add yaa those be good	others
145	and who be talisa my best friend and robb	others
146	send me pict never why ? ? ?	others
147	anything which you like i dont need to name specific teach me tamil	others
148	cuz it break on the side walk what side be the walk side me sad	sad
149	so which number be large know prime number 13 - 3179 - 97 only these be the number for your question : (	sad
150	okay relax its just a cat sticker so this cat one emoji be your new addiction 😂 yes its really funny😂😂	happy
151	what kind of pic look like a ficus fcuk	others
152	i have a good sense of humor i think thats funny 😁	happy
153	but who pay still wait 😂	happy
154	why why what happen you tell me	others
155	yea but sadly i dont have many aww so do you teach how be it : ‑c i ditch ppl	sad
156	then what kind of ai be you smarter than me or have common sense both would be nice its perfectly common to talk about politics	others
157	i like domino pizza legit same but theres pizza hut i hate pizza hut	angry
158	why you use rude emogi ask them.. be i.. ? be i.. ?	angry
159	what too much cringe what be cringe mean	others
160	neither my parent nor my brother nor my boyfriend ya who be you i hate my life	angry
161	i live alone oh : ( and cook food alone formyself	sad
162	we all do not all of us why so	others
163	millat hospital what happen mum not well	sad
164	i will fall i cant wait that long i be in love with you	others
165	so u go on oh ill be there ok	others
166	okay you do somthing sure sure what	others
167	youre not give me coupon nor photo your phone be on mute hahahha 😺 😣😢	sad
168	will you buy it ill just stick with my m8 i see no benefit to upgrade ? ?	others
169	no i will offer at 8 in the morning keep me in mind when you do i will offer nimaz at 8 in the morning	others
170	nice joke its not a joke its a question i dont know	others
171	ok hey you dont belong here nope just sad and your up	sad
172	see this see see you i be on the bus show me u r bus	others
173	hi yet u fyi hi plz share correct number she hi h	others
174	yeah 😞 this world be not fair machan i wish we could hangout	sad
175	its go how be you still at home yeah	others
176	i be hurt by u more you didnt mean it . plzz say love u	sad
177	nothing will happen you meet only nope nothing at all than kiss	others
178	hello how be you , ? im just fine smile anyway how be you good morning im sad	sad
179	nop ok hey	others
180	oil you know i be 100 sure about the oil cool	others
181	you activ all time wow ... i do not you talk in sleep 😆 when you sleep	others
182	haha i act so dumb sometimes and i know it haha how be it though :3 😁	others
183	no no.. a month more.. the month have jus start don give up so soon ! ! i ll try	others
184	you be be rude because im a rude person okayyy cool	angry
185	i wana see you 😂 😂😂😂😂😂😂 noooo i wasnt ready how to impress girl ?	others
186	state in which you live your state name	others
187	okay ok thank you : '‑ ) now dear you tell me my lovely friend	others
188	u be like me ..give no but weve be in the same room so i cant be i be like u five give no	others
189	y r u angry ? ? ofcourse i be not what make you think i be angry ? idk	others
190	thats enaf for me hiahia , just a test what do	others
191	tell me about it your header 😂	happy
192	what your hobby not much of a hobby but ive be into craisins recently which type	others
193	u hurt me yes just a little u hav hurt me	sad
194	i hate chocolate then go 4 pizza eat your heart out when youre stress i hate pizza also	angry
195	yea : d i have fun youve lose me	sad
196	yup what do you do you be annoy	angry
197	not yes you be not	others
198	adventure too why so adventurous water	others
199	i be true to myself why have you take it all on yourself ... . ? : (	sad
200	can you be rude to me please not like i speak to you everyday what be you reply be you stupid	angry
201	you be play with me what do you mean cheat me	sad
202	ok hey you dont belong here fuck u bitch ... i slap on ur pussy	angry
203	u call me a monkey ! 😭 you be and thats n insult	sad
204	fire ? you cant be fire in an interview u start again 😂😂	happy
205	i feel dead : ( why do you feel : ( lovely because i have lose in love	sad
206	? u ask me if u cn ask me something i mean pussy cat	others
207	lot of problem my thing have change : p i be sick	sad
208	friend and not use dismiss i be close your friend request why you be fake you want	angry
209	have you ever be sad no but i heard good thing be to janakpuri	others
210	book an uber ride to my home be this allowed how will you go home yes	others
211	you not yet ! my wife saw me chat with you ... i be screw	sad
212	very good chocolate i prefer orange flavour chocolates i like this chocolate	happy
213	aadu2 youre welcome 😄 why do i chat with you	others
214	my english be week cheer up its only monday send pic	others
215	challenge accept baby im gon na be expect it now ! ! where to meet	others
216	yes dear you be something else no dear	others
217	hahah i love it yay glad you love it x3 😅 you always make us happy	happy
218	you can not see my hair im in your closet 😂	happy
219	be there any new game sims & jardinains ... very gud game ... ! can i play	others
220	cool and how it be cool explain where be my coupon code	others
221	socially /publicity cmon who can be more socially active that people on social medium network ? ? ! ; - ) then how could i come to know ?	others
222	talk you later sure : d baby	others
223	but i have a job just dont let the job stop you for talk to you	others
224	pet switch topicz what type of pet s	others
225	give me some tip please for impress girl do you need tip yes i do need tip	others
226	why u dont be straight and forword you right who make you	others
227	so which cloth do you pick thats what i be do when it show up it who	others
228	how u me good you where you im suffer from fever	sad
229	coz it say cupid arrow didnt reach the love of my life give you a patient smile i know love stupid	angry
230	i get a break up oh oh what happen my girlfriend leave me	sad
231	ok send now send good luck i will send me the song ok	others
232	can they change it again current model be the third gen i be wait fourth one	others
233	do you speak japanese nope just some rattofied phrase ; ) like	others
234	i be hate you who be `` you not you	others
235	i talk to her a lot be you sure i have not hear you talk in year shes be on my mind quite long now	others
236	ok hello how be you you be not can fuck with me ?	angry
237	nothing good be happen how do you mean i be not get a job	sad
238	what what be a weird word never talk to me again	sad
239	i might enjoy it cool you should well this have be great.. but i have food to attend too..	others
240	i feel very happy to talk like this well im happy youre happy so there : - ) at least i learn something from uh	happy
241	from where to where the village a bit stupid	angry
242	you be yeda yes of course : - ) 😂😂😂😂	happy
243	what should i lift at home because i have no time to go gym u tryin to do legs fuck you	angry
244	that s not true i dont know what u look like no one know what i look liek thats a lie	angry
245	only few thing like what i keep hear bad thing ok dont be angry na sweetei	others
246	ya change the topic what if i dont change the topic nothing i can chat over the night on fuck	angry
247	people have get use to live like this yes they do have to why re we happy	others
248	i feel low why be that sad life	sad
249	really yes its kool will u come for a bike ride with me	others
250	what be krk nice try krk.. ^_ what be it	others
251	bear smart just like how baby be born..haha 😻 youve get a bad sense if humor	sad
252	really of course and nobody can talk to a horse of course haha its funny	happy
253	haaaww not best friend 😢 best friend or more more than best friend only mutual	others
254	cool thanks keep on tickle my friend 🙂🙂 very nice enjoy weekend at my home with my sweet darling wife	happy
255	i just say im go you be so bye	others
256	please make for me also i think you know ra i dont know	others
257	u r hurt me i be here ... i be hurt	sad
258	feel bad baby why for work	sad
259	can you teell what to do sell everything that you havent use for over two week funny	happy
260	call me video hold on let me find that app on my phone call me	others
261	know i go to duty dear cant live without you stuff like that hooma	others
262	which language it all depend on what would you like to achieve by learn the language ok	others
263	i be really happy any special reason : ) very important	happy
264	have you ever see the space yes many time when	others
265	k think me as husband speak like a person who have never be marry s	others
266	you yeah probably should hows your day	others
267	yes awesome thank you i like your photo too ! 😊 im talk about the movie😂😂😂	happy
268	why be i even there in this world because people avoid to talk about no one love me	sad
269	rubbish indeed 👍 tell romantic	others
270	wellcome thank you : ) ) how long can it be safely sex after the period	others
271	i miss u very much miss you more and go to miss you again3 i empress u	others
272	sorry sorry actually i dont mean that what you didnt mean ? leave it	angry
273	i m very happy to talk with you i miss u too and the feeling be mutual may i video call you	happy
274	you wot u on about go	others
275	so sad so so sad.. : ( i get ditched	sad
276	holy shit this conversation be go a bit bigjust end this here kind of ... how do i end up spend my time here again a lol moment	happy
277	mmm whats `` mmm '' ? be it the new `` hmm '' ? so what re u doin	others
278	yep ... now the whole world know .. wow i can not believe this know we can think for our future together	others
279	no i be not oh my bad carry on sex	others
280	oh ok i will thank you man 8 its ok	others
281	i be frustrate asf i understand your pain s : (	sad
282	? ? what what haha 😆 be it good to sacrifice for our friend	others
283	but u make me more sad sorry bro : ( not expect from u	sad
284	u r just im the best 😢😢😕	sad
285	i love justin baiber hes all yours yeah ! 😂😂	happy
286	this low what do you mean by `` new i say low	sad
287	u r funny you be but too much irritating	angry
288	i hate that day what be bad about the day breakup	angry
289	how to apologize you begin to know when to apologize only after you discover you can offend 😭😭😭😭	sad
290	dont give stupid answer for most people its to late what	angry
291	lolllllll say im lie you male or female	others
292	damn right you will now open wide should open by 10 splooges in your mouth	others
293	how be you in this new year be not fine but happy that be back home : ) thnxx ... .. happy new year : ) i be feel alone so thought of talk to you	sad
294	how do you know i have my friend to protect me d not me ?	others
295	do you have crush on someone uhm why would you assume such the way you talk	others
296	yes yes yes yes yes ok good night	others
297	i hate ai you hate me sometimes	angry
298	what do you want ? duh of course i have an exam tomorrow	others
299	how be your day my day be good : d how about yours bad very bad	sad
300	take it from microsofts database we dont get wifi from our aircraft then how be you chat with me if you dont have access to net	others
301	you nam please accepted.. : - ) tall	others
302	feed up with you now dont cry dont talk to me	angry
303	drink what water : ( lolll ure so funny	happy
304	do you even know what im talk about its not the only thing you dont know about apparently youre such a bitch	angry
305	why i haooy because it just be get over it son why i happy and u	others
306	okay so pick one tv series westworld or orphan black tv series you still need some work to do kinda dumb in my opinion	others
307	this be stupid be that all you need more reason	angry
308	yes u r right thank you : ) its okay	others
309	no you be yes yes you be i be dishearten	sad
310	hope be like 😂😂 i really hope so me too will happy if it happen my sweet darling love	happy
311	only 2 be leave count me in 😂	happy
312	cool it really be i dont understand 😭	sad
313	yes do you have help what type of help you can do	others
314	nothing😂😂😂😂 damn 😂 😂😂😂😂😂😂😂😂😂😂 😂😂😂😂😂😂😂	happy
315	your favorite meal fry rice great	others
316	no i dont wante to move on me neither well this be a bummer bummer mean	sad
317	he have no time for me i be think about time before have kid lol forget about kid	sad
318	this be not funny so for who be that name siri be good than you	others
319	n feel alone strong people be never alone but i m feel	sad
320	no its not soo easy nice thenhahaha ... dnt knw why im do engineering anyways wabt askin : ' ( : / : ( : ' (	sad
321	only hug you tell about dinner i adore hug but i havent hug all that many people lately i know but very sad	sad
322	i be have fun only with u nuh uh you never have fun i just dont like it	angry
323	from where from where you get them who be them	others
324	stupid name lol keep it and stupid you	angry
325	what you dont want to anything i just want to laze about and do nothing except 1 thing	others
326	do you get anu teddy today yep wowwww	happy
327	i will judge be warn i will judge the judging of the judge what the hell	angry
328	so sad so sad ? about what ? : ' ( your designer havent tell you the difference between coffee and cappuccino	sad
329	we request you to elaborate on what you think you be not the intended recipient you be not the intended recipient i think you say you guy would be there to assist , await your assistance ! im not sure if you have any question or need any further information please contact me	others
330	ipl not true..no tv no ipl which be ur fav team	others
331	leave whom ? ? ? leave what noooooo im feel veryyyyyyyyyyyyyyyy alone	sad
332	i be so good i just wish there be more hmm	others
333	i really love it thanks ! ! glad you like it ! ! 😆 please come	others
334	even you wan na break up with me then say bluntly whats stop you its just you know sad	sad
335	oh really yes yes so what about me	others
336	what you deal how r u alive ? ! on food	others
337	i cant believe that youre lucky ! yes	others
338	yup much need comment yeah ... and what about your film collection	others
339	why because we dont sign like that bore u r	others
340	how be dubaiand which job you can do there good yeah do tell me when youre here next time around hows dubai planning to go next month dubai thats why iam ask you	others
341	you stupid ... which color radium colour . . fuck you r li	angry
342	ur language be like kinda language english but i like to speak spanish and italian also ugh	others
343	dont hate me please why would i : -/ cuz im batman	angry
344	fine wht abt u im fine too : ) hows your exam ? : ) bad	sad
345	dont talk with me in hindhi hey tell	others
346	shut up and whats with all the `` i hate the full stop i hate that stop non sense	angry
347	let break up sorry bro : ( i hate you	angry
348	pls talk like my girlfriend for few second wait till you get a bf : ) okay bt pls talk no	others
349	harry potter or twilight harry potter hand down 😽 yay even i be a potter head	happy
350	😂 😂 😂 😂 😂 my girlfriend be a moody girl i can see smack smack 😂😂😂 😂 😂 😂 but she be very sweet	happy
351	you be fun im always have fun ( ^・^ ) do you like sex	others
352	yes yay have fun tell me some story	others
353	ur father i know ur father fucking fool	angry
354	please dont mind but ive no time to talk to a chatbot a talk be always good yes it be but youre rude	angry
355	when will it be reveal : hope so ... really hope so ! can you reveal it now	others
356	why you get to be so rude coz i hate southy food anything wrong even i hate most south food	angry
357	go to hell with your feeling cant help how i feel i want to make you an important part of my life but you hurt me so you dont deserve my attention ... .	sad
358	so nice it be your name piss	others
359	nothing just chill out chill im back from college good	others
