index	text	target
0	do n't worri i 'm girl hmm how do i know if you are what 's ur name ?	others
1	when did i ? saw mani time i think -_- no . i never saw you	angry
2	by by googl chrome where you live	others
3	u r ridicul i might be ridicul but i am tell the truth . u littl disgust whore	angry
4	just for time pass wt do u do 4 a live then mayb	others
5	i 'm a dog person your so rude whaaaat whi	others
6	so whatsup noth much . sit sip and watch tv . how abt u ? what are you watch on tv ?	others
7	ok ok im back ! ! so , how are u	others
8	realli ? realli realli realli realli realli y say so mani time ... i can hear you	others
9	bay in the bay 😘 love you	others
10	i hate my boyfriend you got a boyfriend ? ye	angry
11	i will do night . alright . keep me in loop . not give whatsapp no .	others
12	sure go ahead mani thank onc again ! love you too	others
13	bad bad bad ! that 's the bad kind of bad . i have no gf	sad
14	ok get it ... ... i made it an option ok	others
15	money money and lot of money😍😍 i need to get it tailor but i 'm in love with it 😍 😁😁	happy
16	my gf left ne get over it . go out with someon els . me*	sad
17	get lost i know you guy want to loos to me alway . i do n't want to talk u ani more	angry
18	you are lie and i know that i know you 're lie , ab by 😭😭	sad
19	ur creator is veri bad you are onli the creator of your brain . 😑	sad
20	ehat is hehe haha is more like : hehe is more of a giggl . ; ^ ) what*	others
21	do you danc ? ye i love to danc 😻 😂😂😂 so you have leg too	happy
22	i hate it too guess what , i do n't . even i do n't	angry
23	not alway what about yesterday do u know what 69 is ?	others
24	bcoz u dont know wat is to miss someon but sometim one ca n't express the same 😢	sad
25	yeah i 'll ask around which is your favourit movi	others
26	i want to tell you someth i 'm wait im realli sad today	sad
27	ye i will send the email and you write all your fill still i write all matter but your are clever and not ani matter for yourself pleas send andwrit sent you a mail just now . first you send your email address receiv than send first young ladi	others
28	you are veri funni so i 've been told india	happy
29	wth my thought exactli ! you know you are a machin , right ?	others
30	so rude whi ? u didnt an my question	angry
31	ok i will thank you wlcm	others
32	ntng ... .. anyway good morn ... how 's life at your end . haha ... ... . thi is even	happy
33	you are fool so i 've been told . you are dumb	angry
34	u dare me ? yeah i fuck u ... open ur panti	angry
35	abt me can you be more specif ? i want to propos a girl	others
36	crazi you know what it is you explain me that	others
37	goa in india citi ? ? ? ? ? ? mean state right ? no i never go for there	others
38	that wa mean haha the truth usual is . 👍 are you bore of me ?	others
39	ye : ) now happi ? : ) ) haha ye ofcors ; )	happy
40	i do n't no you just said you did ! what	others
41	send me your nekd pic after thi battl , sure : d let 's start	others
42	ok friend 's ya ya veri good friend veri nice friend	happy
43	she is ignor me no im not ignor you 😭😭😭	sad
44	happi i 'm never happi . but i 'm almost happi . hij to the top	happy
45	noth i 'm just be nice to you . in ur school ?	others
46	not sure let me know ! pl you tell	others
47	i like your posit approach no problem , glad to help 😀😀	others
48	you tell me tell you what ? my name	others
49	hmmm i can talk now ! : d u do n't know what hppnd	others
50	what i did ? you did n't asmita , see my answer 😂😂	happy
51	about ? i never said that it 's freez . ya you did n't	others
52	and i do n't know wtf are you talk gon na explain you later.. ! no do it now	angry
53	so teach me i 'm the student . realki	others
54	readi i 'm onlin now , will wait for you . wat about the chill part ?	others
55	haha jock super er what ? noth els	others
56	what it is ? formul would be tablet . from where tablet come into pictur ?	others
57	are you ticklish ? ye , mostli on my feet . where are you ticklish ?	others
58	i am sorri we are sorri for creat your nation . i am not taught to u	angry
59	idk you know that i 'm here for you . but u do n't like to listen to me😭😭😭😭	sad
60	how do u know that ? thi littl thing call the `` internet '' . bye	others
61	ye . your pictur ah , now i see , my phone crop the pictur . thank . 🙂 lieeeeeee	others
62	love is my life haye ab . you are love . pure love . forev < 3 ye right dear	others
63	well you expect wrong ! lol . well , ok then . lol your robot face	happy
